Graphie du mot Dieu
Lemme : dieu	132
Deu	74
Dex	54
Diu	2
Dé	1
Deus	1
Graphie du mot lieu
Lemme : lieu	80
leu	49
leus	18
liu	6
lius	3
lui	2
lieu	1
luies	1
Réduction de e ouvert libre en i
Agnies	1	Agniés 
Alexandrie	5	Alixandre Alexandre 
Asie	4	Aise Almasse 
Ethyopie	1	Ethyope 
Marsilie	1	Marselle 
Maximien	5	Maximiens Maxime 
Mercurie	2	Mercurie Mercurius 
Pierre	35	Pierre Pere Peres ﻿Pere 
Syrie	1	Syre 
Valentinien	8	Valentinien Valentiniens Valentiens Veredemus Nemausense 
abaissier	3	abessie abesse 
abeie	29	abeïes abeïe 
acompagnier	1	acompaigna 
acouchier	2	acoucha 
adrecier	1	adreces 
agaitier	2	aguetier agaitoit 
agenoillier	6	ajenoilla agenoilla agenoilliez ajenolla 
aidier	23	aidoit aidié aidier aidie aidoient aïde aidast aidierent 
alaitier	1	aletai 
alaschier	5	alaschoit alassoit alascha alasser 
amenuisier	4	amenuisie amenuiseront 
amoliier	1	amoloiés 
anciien	9	ancien anciens ancïens anciene 
anoncier	21	annoncier anoncier anoncie anoncierent anonciez annonce annonçons anonce anonçoit anonça 
anonciier	1	anonçanz 
antiene	1	antevene 
apaisier	9	apesies apeisie apaisie apaisoit apesie apeisier apaisast 
apareillier1	18	aparellierent aparelloient aparellier aparellie apareillé aparelliez apareilliez appareillies apareillié aparellié aparelloit apareillie Apareilliez apareilloient apareillier 
aprochier	13	aprochier aprocier aproçoient aprocha aproce aprochierent aprochié aproche aprochie 
aproismier	17	aproismier aproisma aproismast aproisme aproismierent apresser 
assoagier	3	assouagoit asouaga assoagerai 
atachier2	2	atachié atachiez 
atargier	9	atargiez atargier atarja atargierent atarge atargié 
atochier	9	atouchier atouçoient atouchoit atouchiez atouche atouchié atouchast 
baillier	9	baillast bailla baillié baillie baillier baillierent 
baisier	7	besa besié beisierent baisai besiez baisier baisoit 
baissier	1	bessa 
balancier	1	balance 
batisier	36	baptiziés baptisiez baptizier baptiziez baptizast baptizassent baptize baptizierent baptizie baptiza baptirent Baptizier 
bienëuré	8	beneüré beneüree beneürez Beneüreus beneüreus beneürés 
blecier	8	bleciez blecié bleçast blecier bleça 
cerchier	4	cerchassent cercherent cerchier cercha 
chacier	19	chacierent chaçassent chaça chaçoit chaçoient chacier chacié chaciez chaças 
chaiere	2	chaere 
changier	1	chanja 
chargier	10	chargie charchié charchast charga charchiez chargies 
chastiier	2	chastiiés chastioient 
chief1	13	chief chiés 
ciel	44	ciel cius cieus ciels 
clochier2	2	clochoit 
combrisier	5	combrisiez combrisassent combrises combrisa 
comencier	157	comence comença conmença conmencierent coumença comencierent coumencierent comencie conmencier conmence coumence conmençames començai conmençast conmança conmencié començames comencier commença conmanç descouplerent comenciez comandastes conmanderent 
conseillier1	1	conseillast 
convoiier	3	convoia convoier 
corcier	1	corçoit 
corrocier	19	corrociez corrocier corroça corroce corrouçast corroceroit corroces corroçoit corrocié 
couchier	26	couchié coucha couça couchierent couce coucierent couchiez couchoit acouchie couchier 
covoitier	10	covoita covoitast couvoite covoitoit covoite covoitié covoitassent 
criembre	13	criem cremist cremirent cremoit cremisse cremir cremez cremi 
cuidier1	54	cuident cuidoient cuida cuidoit cuidissiez cuidiez cuidié cuidast quiç cuit cuiç cuidierent cuidames cuidier cuides cuidoie 
debrisier	5	debrisa debrisier debrisassent 
deignier	7	deigna degne deignie deigne degnast 
delaissier	2	delessoies delessoit 
denoiier	2	denioit denoier 
depecier	13	despechier despecié depecier depecheroit depeçassent depechier desiree despeça 
depriier	4	deprions deproions deproi 
deschaucier	1	deschauça 
descirier	3	desciré desciree descirer 
desdeignier	1	desdeigna 
